time,wallTime,pacc_liq,pin_LHEX_liq,Tout_LHEX_liq,Tin_LHEX_liq,cooling_power
677.6,20.223227335,155175.829228,724957.511659,310.919818813,314.884011886,4.8
678.6,20.24413047,155174.109991,724980.673979,310.908633792,314.872907544,4.8
679.6,20.284995791,155172.388768,725003.89226,310.897447548,314.861766844,4.8
680.6,20.301308304,155170.67073399998,725027.0462389999,310.886263612,314.850675353,4.8
681.6,20.31939907,155168.95376899999,725050.182189,310.875082178,314.839597088,4.8
682.6,20.366888071,155167.239583,725073.263724,310.863905315,314.828557328,4.8
683.6,20.382926127,155165.520923,725096.4701309999,310.852732112,314.817433009,4.8
684.6,20.401331342,155163.802853,725119.6622949999,310.841558863,314.806313171,4.8
685.6,20.43017973,155162.087155,725142.8084379999,310.830386449,314.795229358,4.8
686.6,20.448989505,155160.369554,725166.011173,310.819215,314.784108076,4.8
687.6,20.466992461,155158.65322799998,725189.192662,310.808041958,314.773006347,4.8
688.6,20.488131186,155156.937403,725212.3758289999,310.796871486,314.761907622,4.8
689.6,20.50479584,155155.22409899998,725235.5069329999,310.785700802,314.750850489,4.8
690.6,20.521760143,155153.508275,725258.708492,310.774535124,314.739739837,4.8
691.6,20.555067892,155151.794711,725281.864694,310.763370434,314.728664296,4.8
692.6,20.571274027,155150.08278199998,725304.990958,310.752205938,314.717611908,4.8
693.6,20.589074992,155148.367347,725328.2190159999,310.741043866,314.706491244,4.8
694.6,20.636939484,155146.655615,725351.372276,310.729885123,314.695428483,4.8
695.6,20.657644458,155144.941103,725374.594593,310.718723992,314.684315941,4.8
696.6,20.683129805,155143.224954,725397.8627279999,310.707560257,314.673173942,4.8
697.6,20.7046548,155141.512552,725421.0524769999,310.69639599,314.662095679,4.8
698.6,20.725857836,155139.799729,725444.2610889999,310.685232827,314.651006507,4.8
699.6,20.74215641,155138.089527,725467.416687,310.674073457,314.639955538,4.8
700.6,20.759103755,155136.377986,725490.612873,310.662916612,314.628872719,4.8
701.6,20.778043621,155134.665246,725513.847068,310.651758565,314.617768523,4.8
702.6,20.800462786,155132.953893,725537.059109,310.640601861,314.606683653,4.8
703.6,20.815619791,155131.24724199998,725560.1763619999,310.629450073,314.595670428,4.8
704.6,20.831731496,155129.538157,725583.362527,310.618302072,314.584606996,4.8
705.6,20.850391503,155127.827551,725606.589788,310.607154864,314.573511084,4.8
706.6,20.868258478,155126.117607,725629.807223,310.596006265,314.562424022,4.8
707.6,20.888172532,155124.404535,725653.108163,310.584853714,314.55128403,4.8
708.6,20.907568258,155122.69539,725676.325858,310.573699863,314.540211736,4.8
709.6,20.927908504,155120.989003,725699.4951609999,310.562552328,314.529176686,4.8
710.6,20.944399629,155119.28124399998,725722.70087,310.551405073,314.518114337,4.8
711.6,20.960723933,155117.57621,725745.850844,310.540262027,314.507090853,4.8
